Index,PV_cum_capacity MW last year,total_population,agri_land_area,tertiary,electricity net consumption (billion kWh),PV_cum_capacity MW last year^2,PV_cum_capacity MW last year total_population,PV_cum_capacity MW last year agri_land_area,PV_cum_capacity MW last year tertiary,PV_cum_capacity MW last year electricity net consumption (billion kWh),total_population^2,total_population agri_land_area,total_population tertiary,total_population electricity net consumption (billion kWh),agri_land_area^2,agri_land_area tertiary,agri_land_area electricity net consumption (billion kWh),tertiary^2,tertiary electricity net consumption (billion kWh),electricity net consumption (billion kWh)^2,PV_added_capacity_MW,H2_1,H2_2,H2_3,H2_4,H2_5,H1_1,H1_2,H1_3,H1_4,H1_5,capacity_pred,set
354,6.235,543764,790,128418.0816,0.42691262,38.875225,3390368.54,4925.65,800686.7388,2.661800186,2.96E+11,429573560,69829129723,232139.7139,624100,101450284.5,337.2609698,16491203682,54823.29967,0.182254385,1.301,-0.147397347,-0.21790135,0.081299348,-0.253860115,0.055115404,-0.071218876,0.615090179,-0.135308833,-0.017607369,-0.380633177,6.943629089,train
1692,0,65416189,196100,29160541.91,116.2135986,0,0,0,0,0,4.28E+15,1.28E+13,1.91E+15,7602250730,38455210000,5.72E+12,22789486.69,8.50E+14,3388851512,13505.6005,0,-0.273465323,-0.335843699,-0.008500864,-0.316412178,-0.022762159,-0.137434648,0.645249203,-0.107334081,-0.014828361,-0.327576733,83.27361477,train
1367,45.813,191260799,362800,18611072.06,82.692335,2098.830969,8762230985,16620956.4,852629044.3,3788.383943,3.66E+16,6.94E+13,3.56E+15,15815802063,1.32E+11,6.75E+12,30000779.14,3.46E+14,1538993005,6838.022268,54.805,-0.322367561,-0.339736901,-0.116014563,-0.358331636,-0.051133109,-0.181250058,0.631113161,-0.085301254,-0.007688116,-0.334103356,66.3482937,train
668,11,5479531,22734,4804445.691,80.31236,121,60274841,250074,52848902.6,883.43596,3.00E+13,1.25E+11,2.63E+13,440074066.3,516834756,1.09E+11,1825821.192,2.31E+13,385856371.9,6450.075169,6,-0.199087157,-0.241983976,0.075722941,-0.263056797,0.057846577,-0.089620794,0.629248416,-0.128905553,-0.017994649,-0.360202602,12.26326651,train
350,5.651,518276,790,124236.7738,0.37944,31.933801,2928777.676,4464.29,702062.0087,2.14421544,2.69E+11,409438040,64388938178,196654.6454,624100,98147051.3,299.7576,15434775964,47140.40145,0.143974714,0.154,-0.147382201,-0.217849449,0.08127862,-0.253809796,0.055088547,-0.071225027,0.615065576,-0.135286342,-0.017602607,-0.380642914,6.845520902,train
924,0.2,2754414,4670,517959.8381,6.0981,0.04,550882.8,934,103591.9676,1.21962,7.59E+12,12863113380,1.43E+12,16796692.01,21808900,2418872444,28478.127,2.68E+11,3158570.889,37.18682361,0,-0.152888289,-0.220079742,0.079105416,-0.25477847,0.054131157,-0.073709173,0.616082898,-0.134081427,-0.017503393,-0.378706735,4.927933244,train
1644,4,9029572,32160,7400081.185,135.47929,16,36118288,128640,29600324.74,541.91716,8.15E+13,2.90E+11,6.68E+13,1223320004,1034265600,2.38E+11,4357013.966,5.48E+13,1002557745,18354.63802,0,-0.234270045,-0.255893228,0.072589974,-0.267815597,0.062072526,-0.101870538,0.638216905,-0.124496444,-0.018215185,-0.346609784,38.04468832,train
458,1.069,42075953,423910,11838754.84,37.43962,1.142761,44979193.76,453159.79,12655628.92,40.02295378,1.77E+15,1.78E+13,4.98E+14,1575307691,1.80E+11,5.02E+12,15871029.31,1.40E+14,443238482.5,1401.725146,0.023,-0.195605793,-0.274503286,-0.032137235,-0.29091824,-0.060519939,-0.123260175,0.608288415,-0.099858671,-0.010496178,-0.364592103,-11.52287562,train
1600,5.658,52832659,963410,10114104.39,212.61204,32.012964,298927184.6,5450973.78,57225602.64,1202.958922,2.79E+15,5.09E+13,5.34E+14,11232859409,9.28E+11,9.74E+12,204832565.5,1.02E+14,2150380367,45203.87955,5.645,-0.294345026,-0.29195241,-0.128938037,-0.306013609,-0.140803946,-0.189123697,0.603925774,-0.053240592,-0.003125852,-0.336624559,-36.95966249,train
344,0,480846,780,57914.82406,0.2511,0,0,0,0,0,2.31E+11,375059880,27848111490,120740.4306,608400,45173562.77,195.858,3354126846,14542.41232,0.06305121,0,-0.147547553,-0.217367751,0.081000878,-0.253354422,0.054919526,-0.071406339,0.614873469,-0.135019061,-0.017552153,-0.380656697,5.877156793,train
1022,0.1,3028115,28059,2545299.862,9.48938,0.01,302811.5,2805.9,254529.9862,0.948938,9.17E+12,84965878785,7.71E+12,28734933.92,787307481,71418568828,266262.5134,6.48E+12,24153317.6,90.04833278,0.2,-0.156206509,-0.226862221,0.073266353,-0.257963278,0.045763529,-0.076688668,0.616844604,-0.13233073,-0.017256387,-0.376633105,2.789216463,train
1634,2.27,35349676,682113.6,5484343.232,6.65872,5.1529,80243764.52,1548397.872,12449459.14,15.1152944,1.25E+15,2.41E+13,1.94E+14,235383594.6,4.65E+11,3.74E+12,4542003.471,3.01E+13,36518705.97,44.33855204,1.236,-0.170219795,-0.257671919,-0.071132089,-0.286111357,-0.115870396,-0.130502295,0.58693286,-0.085126713,-0.006532099,-0.376713451,33.0449317,train
1024,7,2957689,28914,2174883.46,9.6965,49,20703823,202398,15224184.22,67.8755,8.75E+12,85518619746,6.43E+12,28679231.39,836019396,62884580362,280364.601,4.73E+12,21088757.47,94.02211225,61,-0.155323892,-0.226111881,0.073683604,-0.257914858,0.046604488,-0.076224379,0.616631187,-0.132652058,-0.017276681,-0.377121185,3.947888329,train
1319,2,2061044,12670,803840.9677,7.31192,4,4122088,25340,1607681.935,14.62384,4.25E+12,26113427480,1.66E+12,15070188.84,160528900,10184665061,92642.0264,6.46E+11,5877620.849,53.46417409,2,-0.152815661,-0.221071137,0.07778578,-0.255224278,0.052184539,-0.074121925,0.615958845,-0.133725727,-0.017426203,-0.378593649,4.364380127,train
1595,238,2065042,6174.8,1607616.26,13.40154,56644,491479996,1469602.4,382612669.9,3189.56652,4.26E+12,12751221342,3.32E+12,27674742.96,38128155.04,9926708882,82751.82919,2.58E+12,21544533.61,179.6012744,-5,-0.142994446,-0.234822578,0.092398614,-0.271018645,0.064693595,-0.064643438,0.622552165,-0.145577485,-0.019547415,-0.380041215,47.93462897,train
